To Author,Tweet_ID,Created_at,Tweet
bitcoin_dad,1515507799865835526,2022-04-17 01:49:50+00:00,@bitcoin_dad Be a part of Early Investors DAO and mint the next DOODLE! Send a message @WSDC_NFT with words EARLY ACCESS
bitcoin_dad,1515318658435854343,2022-04-16 13:18:16+00:00,@bitcoin_dad We can send you the boy if you want ❤️
bitcoin_dad,1515292685078306821,2022-04-16 11:35:03+00:00,@bitcoin_dad lucky man https://t.co/9k0tWjTb7S
bitcoin_dad,1515056276698501126,2022-04-15 19:55:39+00:00,"@bitcoin_dad 💣DARK DAO💣

Dao is currently bottomed, but the team and dev are pushing hard back
🔰Current State:pc game live, staking live
🔰Whats coming next:Token brdige (few days) from Interfi Dev, new staking pool (&gt; 1 week), mobile game
$DDAO #DDAO 
@darkdao_game
@dark_dao_game #3192"
bitcoin_dad,1515056214165659651,2022-04-15 19:55:24+00:00,"@bitcoin_dad @MoMBGallery @MarsCatsVoyage @Chubbicorns @robotosNFT 💣DARK DAO💣

Dao is currently bottomed, but the team and dev are pushing hard back
🔰Current State:pc game live, staking live
🔰Whats coming next:Token brdige (few days) from Interfi Dev, new staking pool (&gt; 1 week), mobile game
$DDAO #DDAO 
@darkdao_game
@dark_dao_game #3191"
bitcoin_dad,1515055888477921287,2022-04-15 19:54:06+00:00,"@bitcoin_dad 💣DARK DAO💣

Dao is currently bottomed, but the team and dev are pushing hard back
🔰Current State:pc game live, staking live
🔰Whats coming next:Token brdige (few days) from Interfi Dev, new staking pool (&gt; 1 week), mobile game
$DDAO #DDAO 
@darkdao_game
@dark_dao_game #3190"
bitcoin_dad,1515055078729732109,2022-04-15 19:50:53+00:00,"@bitcoin_dad @tinypawsnft @FlyFrogsNFT @adorablealiens_ @TheHumanoidsNFT @EtherGals @PPPandasNFT @Paladin_Pandas 💣DARK DAO💣

Dao is currently bottomed, but the team and dev are pushing hard back
🔰Current State:pc game live, staking live
🔰Whats coming next:Token brdige (few days) from Interfi Dev, new staking pool (&gt; 1 week), mobile game
$DDAO #DDAO 
@darkdao_game
@dark_dao_game #3184"
bitcoin_dad,1515055015706116102,2022-04-15 19:50:38+00:00,"@bitcoin_dad @tinypawsnft @FlyFrogsNFT @adorablealiens_ @TheHumanoidsNFT @EtherGals @PPPandasNFT @Paladin_Pandas 💣DARK DAO💣

Dao is currently bottomed, but the team and dev are pushing hard back
🔰Current State:pc game live, staking live
🔰Whats coming next:Token brdige (few days) from Interfi Dev, new staking pool (&gt; 1 week), mobile game
$DDAO #DDAO 
@darkdao_game
@dark_dao_game #3183"
bitcoin_dad,1515054293853876232,2022-04-15 19:47:46+00:00,"@bitcoin_dad 💣DARK DAO💣

Dao is currently bottomed, but the team and dev are pushing hard back
🔰Current State:pc game live, staking live
🔰Whats coming next:Token brdige (few days) from Interfi Dev, new staking pool (&gt; 1 week), mobile game
$DDAO #DDAO 
@darkdao_game
@dark_dao_game #3176"
bitcoin_dad,1515054121849696261,2022-04-15 19:47:05+00:00,"@bitcoin_dad @ftx_app 💣DARK DAO💣

Dao is currently bottomed, but the team and dev are pushing hard back
🔰Current State:pc game live, staking live
🔰Whats coming next:Token brdige (few days) from Interfi Dev, new staking pool (&gt; 1 week), mobile game
$DDAO #DDAO 
@darkdao_game
@dark_dao_game #3173"
bitcoin_dad,1515054036722012163,2022-04-15 19:46:45+00:00,"@bitcoin_dad @FTX_US @BinanceUS 💣DARK DAO💣

Dao is currently bottomed, but the team and dev are pushing hard back
🔰Current State:pc game live, staking live
🔰Whats coming next:Token brdige (few days) from Interfi Dev, new staking pool (&gt; 1 week), mobile game
$DDAO #DDAO 
@darkdao_game
@dark_dao_game #3173"
